1	38
1	40
2	13
2	20
2	24
2	31
2	48
3	22
3	43
3	44
4	6
4	45
5	20
5	28
5	36
5	40
5	42
6	11
6	41
6	50
7	16
7	19
7	45
8	14
8	15
8	16
8	35
8	36
8	39
8	40
9	33
9	34
10	24
10	26
10	32
11	29
11	37
11	40
11	44
12	32
12	43
12	49
13	25
13	29
13	42
14	42
14	44
15	27
15	28
16	18
16	42
16	46
17	40
18	37
18	42
18	45
18	48
19	24
19	32
19	41
19	48
20	36
21	25
21	45
22	26
22	42
23	33
23	50
24	38
25	26
25	29
25	36
25	41
26	34
26	37
26	40
26	45
27	28
27	34
27	40
27	49
28	29
28	33
28	34
28	50
31	48
32	34
32	39
33	37
33	39
33	44
33	45
33	50
34	43
34	47
36	45
37	38
38	47
38	48
49	50
