0	2.952378	2.952378	2.952378	2.911695	2.911695	2.911695
1	2.927955	2.952127	2.951452	2.887779	2.911448	2.911028
2	2.904611	2.941604	2.951112	2.865507	2.901004	2.910925
3	2.881859	2.941473	2.950629	2.843126	2.900875	2.910681
4	2.859506	2.941055	2.938416	2.821470	2.900468	2.898911
5	2.838256	2.940422	2.937072	2.801091	2.899851	2.897848
6	2.817081	2.939951	2.936271	2.780562	2.899386	2.897294
7	2.796195	2.939547	2.935029	2.759939	2.898993	2.896322
8	2.775406	2.939175	2.934208	2.740039	2.898629	2.895755
9	2.754755	2.938611	2.932732	2.719948	2.898080	2.894575
10	2.734195	2.938185	2.931938	2.699677	2.897668	2.894035
11	2.713661	2.937903	2.930980	2.679481	2.897389	2.893337
12	2.693167	2.937611	2.929896	2.659527	2.897101	2.892520
13	2.672867	2.936906	2.929257	2.639491	2.896422	2.892127
14	2.652972	2.936451	2.928742	2.620140	2.895978	2.891850
15	2.633434	2.935719	2.926790	2.600841	2.895277	2.890222
16	2.613926	2.935669	2.906108	2.581539	2.895228	2.870030
17	2.595005	2.935481	2.883137	2.562850	2.895042	2.847647
18	2.576143	2.935125	2.873925	2.544158	2.894695	2.838994
19	2.557411	2.933677	2.873375	2.525675	2.893292	2.838684
20	2.538891	2.917024	2.872425	2.507366	2.877017	2.837986
21	2.520376	2.916871	2.871785	2.489065	2.876865	2.837588
22	2.501899	2.916606	2.871311	2.470777	2.876603	2.837352
23	2.483654	2.916577	2.870767	2.453176	2.876575	2.837047
24	2.465582	2.915663	2.870478	2.435321	2.875703	2.836994
25	2.447775	2.915455	2.869584	2.417952	2.875497	2.836352
26	2.430240	2.915020	2.868977	2.400589	2.875071	2.835988
27	2.412796	2.914541	2.868390	2.383381	2.874607	2.835644
28	2.395455	2.913835	2.867884	2.366433	2.873927	2.835377
29	2.378373	2.913430	2.867487	2.349737	2.873531	2.835216
30	2.361433	2.913113	2.866903	2.333199	2.873220	2.834873
31	2.344527	2.898666	2.866075	2.316672	2.858888	2.834294
32	2.327807	2.898357	2.864618	2.300142	2.858584	2.833130
33	2.311152	2.898257	2.864146	2.283846	2.858486	2.832898
34	2.294502	2.898046	2.863607	2.267371	2.858279	2.832599
35	2.277873	2.897901	2.862149	2.250934	2.858136	2.831425
36	2.261263	2.897465	2.843417	2.234455	2.857708	2.813139
37	2.244747	2.897171	2.842976	2.218291	2.857421	2.812934
38	2.228292	2.896904	2.842292	2.202200	2.857160	2.812422
39	2.211849	2.896243	2.841875	2.186150	2.856513	2.812240
40	2.195474	2.895540	2.841436	2.169963	2.855826	2.812036
41	2.179116	2.895396	2.823139	2.153754	2.855684	2.794190
42	2.162867	2.893882	2.822684	2.137654	2.854248	2.793970
43	2.146805	2.893108	2.821997	2.121917	2.853493	2.793532
44	2.130782	2.876733	2.821728	2.106054	2.837321	2.793496
45	2.114993	2.875236	2.821173	2.090773	2.835904	2.793180
46	2.099359	2.874483	2.820636	2.075266	2.835169	2.792882
47	2.084052	2.874064	2.819379	2.060278	2.834760	2.791893
48	2.068967	2.861679	2.818639	2.045326	2.822502	2.791395
49	2.053904	2.852811	2.818283	2.030734	2.813818	2.791274
50	2.038844	2.851963	2.817892	2.015988	2.812999	2.791118
51	2.024106	2.851451	2.797144	2.001542	2.812498	2.770887
